Species;EMCF01;EMCF02;EMCF03;EMCF04;EMCF05;EMCF06;EMCF09;EMCF10;EMCF13;EMCF14;EMCF16;EMCF17;EMCF18;EMCF19;EMCF21;EMCF22;EMCF25;EMCF26;EMCF27;EMCF28;EMCF29;EMCF30;EMCF31;EMCF32;EMCF33;EMCF34;EMCF35;EMCF36;EMCF37;KGCF01;KGCF02;KGCF03;KGCF04;KGCF05;KGCF07;KGCF13;KGCF14;KGCF15;KGCF16;KGCF17;KGCF18;KGCF19;KGCF21;KGCF22;KGCF24;KGCF25;KGCF26;KGCF27;KGCF28;KGCF29;KGCF30;KGCF32;KGCF33;KGCF35;KGCF36;KGCF37;KGCF38;KGCF39;KGCF40;KGCF41;KGCF42;KGCF44;KGCF45;KGCF46;KGCF47;KGCF48;KGCF49;KGCF50;KGCF51;KGCF52;KGCF53;KGCF55;KGCF56;KGCF57;KGCF58;MCF01s1;MCF02s1;MCF03s1;MCF04s1;MCF05s1;MCF06s1;MCF07s1;MCF08s1;MCF09s1;MCF10s1;MCF11s1;MCF13s1
NC_010001.1_Lachnoclostridium_phytofermentans_ISDg__complete_sequence;0.02892;0;0.00019;0.00035;0.0013;0.00343;0.02167;0.00662;0;0;0.00807;0.00063;0.00003;0;0.01733;0;0.00116;0.00228;0;0.01642;0;0.00254;0.00006;0.00146;0.00053;0.00939;0.00111;0.0012;0.00032;0.00231;0.00043;0.00005;0.00238;0.00646;0.00027;0.01118;0.12044;0.00081;0.01588;0.09097;0.0923;0.00115;0.01714;0.00561;0.02889;0.0599;0.06715;0.00711;0.00621;0.00558;0.00019;0.00814;0.00843;0.02321;0.00475;0.00032;0.11481;0.00034;0.43679;0.00807;0.01446;0.00208;0.10068;0;0;0.0159;0;0.01791;0.05592;0.00223;0.00186;0.00586;0.00045;0.00016;0.00686;0;0;0;0.00022;0.01033;0.00041;0.00736;0;0.00077;0.00103;0;0.00149
NC_013721.1_Gardnerella_vaginalis_409_05__complete_sequence;0.02889;0;0.00056;0.0003;0.00156;0.0028;0.03248;0.00299;0;0.00086;0.01582;0.00116;0;0;0.00669;0.00018;0.00065;0.00195;0.00151;0.00057;0;0.00247;0;0.00048;0.00114;0.00999;0.00554;0.00045;0.00096;0.00116;0.00032;0.00015;0.00285;0.00115;0;0.0076;0.16659;0.00145;0.08054;0.03895;0.2049;0.0036;0.01754;0.00752;0.03909;0.04296;0.05504;0.01272;0.00757;0.00307;0.00014;0.0077;0.0065;0.03865;0.00526;0.00073;0.02014;0.00044;0.52552;0.01663;0.00722;0.00294;0.13262;0.01497;0;0.00708;0.00026;0.01678;0.0993;0.00238;0.00609;0.00834;0.0003;0.0028;0.00882;0.01005;0;0;0.00067;0.00306;0.00149;0.00142;0;0.00116;0.00017;0.0003;0.00278
NC_013170.1_Cryptobacterium_curtum_DSM_15641__complete_sequence;0.02888;0;0.00198;0.00045;0.00039;0.00249;0;0.00412;0;0;0.0167;0.00053;0;0;0.00039;0;0.00022;0.00429;0;0.00057;0.08025;0.00057;0;0;0.00023;0.00409;0.00055;0.0018;0.00096;0.00092;0;0.00015;0;0.01958;0;0.00626;0.57603;0;0.06223;0;0;0.00374;0.0144;0.00177;0.00907;0.09358;0.03609;0.00618;0.00584;0.01587;0.00057;0.00514;0.0065;0.02152;0.00031;0;0.03104;0.00015;0.23883;0.00151;0;0.00882;0.04973;0.07981;0;0.00966;0;0.00168;0.00621;0;0.00508;0.00483;0.00015;0.00747;0.0021;0.00017;0;0;0;0.19139;0;0.00036;0;0.00444;0;0.0012;0
NZ_LR027382.1_Alistipes_megaguti_strain_Marseille_P5997_chromosome_contig00001;0.02857;0.00005;0.00042;0.00194;0.00116;0.01294;0;0.00925;0;0;0.01565;0.00083;0;0;0.0356;0.00009;0.00086;0.00935;0.00075;0.00224;0.00099;0.00075;0.00017;0.00178;0.00011;0.01976;0.00342;0.00558;0.00019;0.00515;0.00128;0.0006;0.00176;0.00615;0;0.00729;0.13044;0.00024;0.03078;0.62597;0;0.0022;0.07156;0.02274;0.01951;0.0277;0.20527;0.01309;0.01027;0.00684;0.00114;0;0.00774;0.02221;0.00015;0.0018;0.03444;0.00014;0.404;0.0142;0.00089;0.00127;0.08198;0;0.00012;0.07898;0;0.03692;0.04911;0.00141;0;0.00478;0.00185;0;0.01661;0;0;0;0.00172;0;0.00061;0.00334;0;0.00038;0.00053;0.00164;0.00206
NZ_CP015402.2_Muribaculum_intestinale_strain_YL27_chromosome__complete_genome;0.02827;0.00063;0.00069;0.00111;0.00114;0.00777;0.03178;0.00714;0;0.0022;0.03484;0.00093;0;0.00005;0.0281;0;0.00085;0.01049;0;0.00636;0.00049;0.00139;0.00094;0.00189;0;0.02243;0.0046;0.00861;0.00009;0.00498;0.00174;0.0003;0.00348;0.00462;0;0.00459;0.11206;0.00059;0.02149;0.79071;0;0.00232;0.0763;0.0424;0.02049;0.0608;0.21101;0.0121;0.01185;0.00618;0.00127;0.00126;0.01354;0.02473;0.00151;0.00308;0.04885;0.00021;0.35758;0.02625;0;0.00126;0.07137;0;0;0.07309;0.00013;0.04801;0.06072;0.00047;0.00074;0.00515;0.0011;0.0016;0.02444;0;0;0;0.00268;0.00037;0.00182;0.00713;0;0.00104;0.00106;0.00324;0.00327
NZ_LT632322.1_Murdochiella_vaginalis_strain_Marseille_P2341T_chromosome_contig00001;0.02796;0;0.00082;0.00205;0.00075;0.00362;0;0.04056;0.0005;0.0005;0.03488;0.00112;0.00009;0;0.00571;0;0.00042;0.02246;0.00146;0;0.00097;0.00074;0;0.00225;0.00022;0.01669;0.00188;0.00349;0.00186;0.00201;0.0025;0;0.00138;0.01583;0.00026;0.04541;0.30228;0.00023;0.0124;0.05654;0.02974;0.00084;0.0885;0.02482;0.01351;0.11137;0.10741;0.02162;0.01842;0.00842;0.00153;0;0.01817;0.02992;0;0.00023;0.04385;0.00042;0.35599;0.00768;0;0.01031;0.09305;0;0;0.00561;0;0.02598;0.2943;0;0.00049;0.00212;0.00058;0;0.00488;0;0.00016;0;0.00116;0.00739;0.00096;0.00069;0;0.00019;0.00024;0.00204;0.00135
NZ_CP042813.1_Treponema_phagedenis_strain_S11.1_chromosome__complete_genome;0.02719;0.00005;0.0004;0.00021;0.00055;0.00337;0;0.01039;0;0.00008;0.00931;0.00045;0.00012;0.00005;0.00815;0;0.00021;0.00147;0;0.00053;0;0.00045;0;0.00085;0.00021;0.01816;0;0.00011;0.00254;0.00109;0.00046;0;0.00034;0.0039;0;0.00547;0.05881;0;0.00172;0;0.03375;0.00041;0.00796;0.00354;0.02744;0.04116;0.10151;0.02442;0.00672;0.00402;0.00007;0.01088;0.00125;0.02527;0.00029;0.00046;0.0079;0.00076;0.06521;0;0;0.0019;0.0078;0.12915;0;0.00121;0;0.00908;0.01461;0;0;0.00393;0.00028;0.00176;0.00079;0.00002;0;0;0.00107;0.02104;0.00023;0.00017;0;0.00054;0;0.00043;0
NZ_CP006018.1_Bifidobacterium_indicum_LMG_11587___DSM_20214_strain_LMG_11587_chromosome__complete_genome;0.02694;0;0;0;0;0.00058;0;0.00035;0;0;0.00041;0;0;0;0;0;0.0002;0;0;0;0;0;0;0.00005;0;0;0;0.00063;0;0.00022;0;0;0;0;0;0;0.00647;0;0.00171;0;0;0.0004;0;0.00082;0;0;0.00168;0;0;0.00159;0.00013;0;0.0009;0.00019;0;0;0.00078;0;0.03119;0;0;0;0.00309;0;0;0;0;0;0.01158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NZ_CP043051.1__Ruminococcus__gnavus_ATCC_29149_strain_JCM6515_chromosome__complete_genome;0.02631;0.00009;0.00013;0.00062;0.00036;0.00369;0;0.00443;0;0.00008;0.01421;0.00168;0;0;0.01164;0;0.00139;0.00888;0;0.00772;0;0.00372;0.00008;0.00315;0.00135;0.01364;0.00013;0.00226;0.00088;0.00463;0.00029;0.00007;0.00746;0.00776;0.00025;0.01323;0.20859;0.00044;0.01917;0.20393;0.02799;0.0017;0.03337;0.00624;0.03465;0.10514;0.16722;0.01815;0.01408;0.0171;0.00049;0.00058;0.00899;0.03453;0.00437;0.00033;0.12991;0.00007;0.44156;0.00602;0.00493;0.00084;0.08605;0;0;0.01173;0;0.01566;0.06217;0.00022;0.00046;0.0094;0.00034;0;0.00229;0.00011;0;0;0.00024;0.00139;0.00011;0.00016;0;0.0007;0.00038;0.00096;0.00025
NZ_CP012546.1_Campylobacter_pinnipediorum_subsp._pinnipediorum_strain_RM17260_chromosome__complete_genome;0.02621;0;0;0.00055;0;0.00057;0;0.00306;0;0;0.00359;0.00029;0;0.00027;0.00036;0;0;0.0023;0;0.00051;0;0.00103;0.00047;0.00043;0.00062;0.00494;0.001;0.00082;0;0.00063;0;0;0.0168;0.01191;0;0.0077;0.07558;0.00044;0.01495;0.08835;0;0.00222;0.01364;0.00201;0.0095;0.05987;0.08106;0.00281;0.0053;0.0079;0.00007;0;0.00218;0.01175;0.00028;0.00044;0.04492;0;0.12138;0.01029;0;0.00067;0.05415;0;0;0.00351;0;0.00381;0.02253;0;0;0.00279;0.00027;0.00085;0.0099;0;0;0;0;0.00312;0.00068;0;0;0.00088;0.0003;0.00191;0.00404
NZ_AP019367.1_Parolsenella_catena_strain_JCM_31932;0.02601;0.00009;0.00051;0.00027;0;0.00617;0;0.00809;0;0;0.00594;0;0;0.00026;0.00212;0.00016;0;0.02089;0;0.00051;0;0.00376;0;0.00014;0;0.0045;0;0.00081;0;0.0025;0;0;0;0.00456;0;0.01408;0.55617;0.00065;0.0824;0.75387;0;0.00129;0.01635;0.00199;0.01886;0.01381;0.03331;0.00278;0.00234;0.01045;0.00019;0.02428;0.00217;0.01843;0.00028;0.00022;0.03475;0.00066;0.16344;0.00068;0;0.00165;0.15522;0.13924;0.00023;0.0029;0;0.00227;0.19556;0.00043;0.00914;0.00593;0;0.00042;0.0034;0;0;0;0.00012;0;0;0;0.00017;0.00035;0;0.00108;0
NC_010376.1_Finegoldia_magna_ATCC_29328__complete_genome;0.026;0.00009;0.0033;0.00082;0.00667;0.00701;0.05845;0.00539;0.00093;0;0.02848;0.0018;0;0.00018;0.13663;0.00127;0.00059;0.01035;0.00272;0.01577;0.00632;0.00086;0.00063;0.00247;0.00061;0.01634;0.00448;0.00122;0.00087;0.00707;0.00145;0.00027;0.01153;0.00725;0.0068;0.01448;0.53091;0.00327;0.03624;4.32823;0.86657;0.00324;0.03833;0.02348;0.01508;0.18364;0.32804;0.03433;0.0251;0.00983;0.00814;0.00693;0.01885;0.06448;0.01086;0.00262;0.0657;0.00382;0.59755;0.02414;0.01138;0.01389;0.17602;0.02694;0;0.03071;0.0007;0.02717;0.10053;0.00214;0.00228;0.01462;0.00148;0.00042;0.01209;0.01054;0.00015;0;0.00168;0.01994;0.00134;0.00032;0.00017;0.00139;0.00067;0.00298;0.00125
NZ_AP012334.1_Scardovia_inopinata_JCM_12537;0.02599;0;0.00229;0.00136;0.00035;0.02746;0;0.02626;0;0.00031;0.00237;0.00019;0;0.00009;0;0;0;0.03246;0;0.00102;0.00181;0.00188;0;0.00105;0.00061;0.01756;0.001;0.00264;0.00225;0.01373;0.00667;0.00027;0.00064;0.01471;0;0.05951;3.67211;0.00109;0.42324;0;0.636;0.00608;0.0293;0.00597;0.03988;0.06005;0.09336;0.01762;0.00486;0.02657;0.00058;0.05315;0.01906;0.09004;0.00446;0.00284;0.20234;0.00039;1.05737;0.0017;0.03088;0.02975;0.90385;4.45269;0.00045;0.00116;0.0007;0.00302;0.10051;0.00129;0.21648;0.21725;0.00148;0.01638;0.07554;0.19966;0;0;0.00012;0.00172;0.00134;0;0;0.00174;0.00037;0.00027;0.00125
NZ_CP047418.1_Lactobacillus_saerimneri_strain_1A_chromosome__complete_genome;0.02592;0;0;0.00054;0.00035;0.00056;0;0.00134;0;0;0.00316;0.00019;0;0;0.00529;0;0.0002;0.00245;0;0.00913;0.0027;0.00341;0.00016;0.00038;0;0.00204;0.00298;0.00061;0;0.00041;0;0;0.00319;0.00041;0;0.00201;0.0872;0;0.01807;0.48928;0.00919;0.00013;0.00337;0.00397;0.00157;0.0062;0.00972;0.00771;0.00408;0.00077;0.00026;0.01152;0.0041;0.003;0.02194;0.00044;0.00753;0;0.01715;0.00949;0;0.00396;0.06248;0.09849;0;0.0052;0.00047;0.02107;0.0724;0.00086;0.00046;0.00394;0;0.00042;0.01281;0.07611;0;0;0.00012;0;0.00089;0.00223;0;0.00017;0.00015;0.00027;0.00449
NZ_LT635480.1_Ndongobacter_massiliensis_strain_Marseille_P3170T_chromosome_contig00001;0.02506;0.00017;0.00098;0.00105;0.00169;0.00648;0.08451;0.01071;0;0.0003;0.01029;0.00109;0;0;0.00409;0.00015;0.0017;0.00474;0;0.00834;0;0.00165;0.0003;0.00087;0.00059;0.01299;0.00864;0.00137;0.00067;0.00241;0.00028;0.00026;0.0037;0.00759;0.00257;0.00853;0.32511;0.00063;0.03493;0.20269;0;0.0015;0.01847;0.0257;0.01211;0.20097;0.31386;0.01967;0.02532;0.01066;0.00069;0.00111;0.01316;0.03316;0.02067;0.00231;0.04877;0.00051;0.1326;0.01606;0.00157;0.00032;0.04314;0.00865;0;0.01117;0.00068;0.01019;0.04307;0.00083;0.00132;0.00076;0.00052;0.0004;0.00583;0;0;0;0.00035;0.0053;0.00129;0.00247;0;0.00033;0.00087;0.00078;0.00266
NZ_CP040506.1_Hungatella_hathewayi_WAL_18680_chromosome__complete_genome;0.02476;0;0.00016;0.00039;0.00022;0.00258;0;0.00524;0.00015;0;0.01871;0.00159;0;0;0.00989;0;0.00324;0.00947;0;0.00016;0.00029;0.00174;0;0.0016;0.00026;0.00817;0.00103;0.00161;0.00072;0.00178;0;0;0.00041;0.00408;0;0.00855;0.05751;0.00014;0.01464;0.05007;0;0.00218;0.02273;0.00455;0.01785;0.04822;0.12065;0.00874;0.00902;0.01238;0.00027;0;0.00598;0.02173;0.00009;0.00014;0.07935;0;0.26068;0.00054;0;0;0.06157;0;0;0.0046;0;0.01294;0.02482;0.00014;0.00073;0.00376;0.00013;0;0.00204;0;0;0;0.00031;0.00142;0.00014;0.0002;0;0.00077;0.00007;0.00043;0
NC_022244.1_Streptococcus_anginosus_C1051__complete_sequence;0.02444;0.00075;0.00287;0.01074;0.01584;0.02687;0.27479;0.07821;0.00044;0.00073;0.65014;0.01691;0;0.0005;0.03395;0.00075;0.00646;0.05082;0.00128;0.57895;0.03396;0.17013;0.00029;0.08458;0.0025;0.20474;0.01195;0.01698;0.01483;0.04363;0.09385;0.00102;0.13734;0.07367;0.01712;0.17697;1.99687;0.00287;0.84099;6.67321;4.05685;0.01266;0.36729;0.40932;0.0954;0.09153;1.19719;0.23175;0.10851;0.01343;0.50572;0.28033;0.04155;0.0548;0.12258;0.01087;0.09586;0.00792;4.39396;0.04028;0.47377;0.09823;4.33989;1.51544;0.0015;0.26591;0.0117;1.35131;1.40737;0.05606;0.08719;0.14154;0.00355;0.01462;0.22486;0.00674;0.01005;0;0.02704;0.77362;0.01155;0.01926;0.00016;0.00359;0.0107;0.00892;0.00565
NZ_CP020867.1_Campylobacter_cuniculorum_DSM_23162___LMG_24588_chromosome__complete_genome;0.0242;0;0;0;0.00033;0.00052;0;0.00031;0;0;0.00295;0;0;0;0;0;0;0.00049;0;0.00095;0;0.00032;0;0.00013;0;0.00038;0.00023;0;0;0.00039;0.00027;0;0;0.00154;0;0.00075;0.01163;0;0.00307;0.04894;0;0.00096;0.01049;0.00037;0.00058;0.01157;0.0068;0.00345;0.00036;0.00014;0.00048;0;0.00181;0.0021;0.00104;0.00061;0.01054;0.00025;0.004;0.00063;0;0.00062;0.03888;0;0;0.00054;0;0;0;0;0.00085;0.0011;0;0;0.00211;0;0;0;0.00011;0.00064;0.00021;0;0;0.00016;0.00007;0.0005;0.0021
NC_016826.1_Streptococcus_infantarius_subsp._infantarius_CJ18__complete_sequence;0.0235;0.00056;0.00046;0.01783;0.06407;0.02356;0.26419;0.04749;0.00167;0.00028;0.08189;0.00428;0.00058;0.00095;0.44254;0.00129;0.00337;0.02348;0.00123;0.27831;0.01388;0.01283;0.00085;0.0055;0.0074;0.0517;0.02072;0.00679;0.00721;0.01806;0.02492;0.00012;0.02432;0.01743;0.00856;0.15342;1.70527;0.0063;3.08527;4.84747;4.75042;0.00269;0.11057;0.09137;0.23455;0.1373;0.45952;0.09197;0.08181;0.00777;0.00567;0.18072;0.03153;0.08498;0.05439;0.00572;0.07168;0.00619;3.59875;0.06147;1.02707;0.09952;2.18468;0.85633;0.00041;0.09011;0.00531;0.62434;1.54998;0.04304;0.14205;0.40001;0.0056;0.02773;0.28039;0.01631;0.01047;0;0.00424;0.12557;0.00384;0.01591;0.00329;0.00267;0.00981;0.00245;0.0086
NZ_CP016604.1_Otariodibacter_oris_strain_Baika1__complete_genome;0.02314;0.00032;0.00045;0.00157;0.0303;0.00449;0.02602;0.00869;0;0;0.02042;0.00236;0.00007;0.00008;0.02269;0.00014;0;0.01078;0.00121;0.05935;0.00884;0.0166;0.00028;0.00055;0.00055;0.00836;0.00266;0.00379;0.00015;0.00019;0.00077;0;0.01084;0.00092;0.00022;0.02077;0.01112;0.00039;0.02493;0.49922;0;0.00058;0.04165;0.02444;0.00447;0.01782;0.16265;0.02285;0.02322;0.00246;0.00207;0.00103;0.00926;0.00318;0.00223;0.00544;0.0195;0.00012;0.1263;0.02694;0;0.00265;0.13281;0;0;0.07119;0;0.33867;0.18894;0.00382;0.00081;0.00211;0.00012;0.00075;0.01144;0;0;0;0.003;0.00153;0.0004;0.00114;0;0.00077;0.00133;0.00121;0.0058
NC_004350.2_Streptococcus_mutans_UA159__complete_sequence;0.02299;0.00039;0.00022;0.00144;0.00248;0.01685;1.05946;0.0274;0;0.00124;0.00804;0.00176;0;0;0.01315;0;0.00087;0.00264;0.00241;0.0414;0.50373;0.00847;0.00014;0.00336;0.00036;0.00975;0.00066;0.00251;0.00199;0.0035;0.03053;0.00024;0.0017;0.0022;0.00193;0.07361;0.59648;0.0079;0.47334;3.22289;14.86858;0.00401;0.03439;0.0278;0.02389;0.01465;0.0797;0.03008;0.01652;0.2902;0.00286;0.05211;0.00747;0.02976;0.06872;0.00096;0.01602;0.00501;0.17866;0.0454;0.30037;0.03859;0.52498;0.66292;0;0.02203;0.00332;0.07475;0.46914;0.00872;0.02585;0.05589;0.00214;0.00371;0.09454;0.00229;0.00092;0;0.00138;0.0377;0.00158;0.00255;0;0.00077;0.00576;0.00192;0.00731
NZ_LS483388.1_Streptococcus_porcinus_strain_NCTC10999_chromosome_1;0.02298;0.00031;0.00157;0.00397;0.00372;0.02502;0.12919;0.02382;0;0;0.01189;0.00368;0;0.00023;0.02003;0.00014;0.00226;0.03801;0.00241;0.39278;0.01277;0.013;0.00139;0.00147;0.00054;0.02167;0.00551;0.00305;0.00046;0.00534;0.01565;0;0.02889;0.00568;0.00365;0.04374;0.73451;0.00154;0.44564;8.33558;1.55686;0.00229;0.08871;0.05911;0.13164;0.04395;0.30943;0.09706;0.03338;0.00611;0.00206;0.06948;0.01781;0.03723;0.03128;0.00386;0.10883;0.00908;0.91225;0.05291;0.29173;0.03537;0.45372;1.08363;0.0006;0.06251;0.00311;0.13481;1.02216;0.02162;0.04079;0.09606;0.005;0.0078;0.09319;0.0069;0.00052;0;0.00266;0.0383;0.00336;0.02406;0;0.00092;0.00695;0.00168;0.01018
NZ_CP029149.1_Bergeyella_cardium_strain_HPQL_chromosome__complete_genome;0.02294;0.00055;0.01278;0.00468;0.12261;0.12067;0.02579;0.02318;0;0.00014;0.14661;0.00718;0.00014;0.00023;0.03374;0;0.00208;0.01316;0.00361;0.10463;0.0008;0.0492;0.00097;0.00512;0.00289;0.07859;0.00506;0.00466;0.00061;0.01432;0.00077;0;0.01413;0.01024;0;0.05537;1.31742;0.00231;0.30816;2.04131;0.12204;0.01131;0.20593;0.63207;0.08177;0.06885;0.72161;0.09634;0.09429;0.00867;0.00262;0.0102;0.0434;0.01742;0.0971;0.00481;0.11862;0.00093;0.28075;0.0201;0.00861;0.0178;0.54765;0.04358;0;0.38764;0.00041;0.29242;0.78858;0.02839;0.01975;0.01255;0.00844;0.01038;0.14303;0.00149;0;0;0.0068;0.00061;0.00217;0.01017;0.00015;0.00214;0.00581;0.01029;0.00354
NC_017617.1_Streptococcus_suis_GZ1__complete_sequence;0.02293;0;0.00067;0.00456;0.00928;0.01779;0.18043;0.02554;0;0.00096;0.04082;0.00209;0;0.00046;0.10865;0.00028;0.0019;0.01532;0.00841;0.22845;0.02389;0.05023;0.00125;0.00445;0.00163;0.03099;0.00154;0.00483;0.00092;0.0134;0.04069;0.00036;0.03842;0.01005;0.0015;0.07342;1.11284;0.00058;0.81211;8.74798;4.64291;0.00422;0.11335;0.06773;0.0651;0.07429;0.34377;0.08101;0.06728;0.00474;0.00137;0.09886;0.01395;0.04991;0.05675;0.00173;0.06394;0.0065;1.0086;0.04648;0.63364;0.05599;0.98417;2.09069;0.0006;0.15742;0.00166;0.31223;2.0541;0.03481;0.04069;0.10105;0.00451;0.00741;0.13995;0.00552;0.00157;0;0.00732;0.10674;0.00768;0.01045;0;0.00077;0.01948;0.00287;0.01215
NZ_CP019728.1_Jeotgalibaca_dankookensis_strain_EX_07_chromosome__complete_genome;0.02229;0.00015;0.00087;0.00128;0.01715;0.0024;0.10025;0.00751;0;0;0.01289;0.00016;0;0;0.02732;0;0.00034;0.00331;0;0.04975;0.00619;0.00088;0.00121;0.00118;0.00053;0.02032;0.00534;0.00087;0.00045;0.00232;0.0005;0.00023;0.00769;0.00302;0;0.02794;0.28926;0.00037;0.23307;0.93173;0.1265;0.00111;0.02079;0.03139;0.00539;0.01243;0.03482;0.03235;0.01786;0.00645;0.00006;0.00198;0.01691;0.00468;0.0504;0.00299;0.02655;0;0.09586;0.05598;0.03485;0.00992;0.19957;0;0;0.0328;0.0002;0.06214;0.19637;0.0011;0.00313;0.00915;0.00104;0.00036;0.01231;0.00039;0;0;0.00062;0.00059;0.00172;0.00714;0;0.00074;0.00154;0.00442;0.01911
NZ_CP043405.1_Streptococcus_ratti_strain_ATCC_31377_chromosome__complete_genome;0.02228;0.00015;0.00152;0.00291;0.01023;0.00456;0.02505;0.0101;0.0004;0.00013;0.01933;0.00211;0;0.00023;0.04642;0;0.00067;0.00963;0.00234;0.12432;0.01316;0.01642;0.00067;0.0011;0.00035;0.01821;0.00491;0.00278;0.00045;0.00428;0.0199;0;0.01373;0.00284;0.00271;0.0362;0.62111;0.00056;0.31063;4.05583;2.11794;0.002;0.05991;0.03684;0.02531;0.03551;0.15105;0.0334;0.01785;0.00487;0.00066;0.06538;0.01226;0.02546;0.04513;0.00505;0.0369;0.00711;0.38695;0.08044;0.15326;0.03146;0.58824;1.26613;0.00039;0.06607;0.00342;0.18699;1.35008;0.01765;0.03681;0.06502;0.00196;0.00468;0.08906;0.00418;0.00127;0;0.00144;0.02711;0.00555;0.00741;0;0.0006;0.00334;0.00372;0.00923
NZ_CP012544.1_Campylobacter_showae_strain_ATCC_51146_chromosome__complete_genome;0.02227;0.00448;0.00609;0.00559;0.00722;0.80023;0.05008;0.24845;0;0.00173;1.48992;0.58049;0.00048;0.00211;0.00334;0.00544;0.00168;2.12121;0.00117;0.01744;0.01315;0.00865;0.0254;0.01198;0.14174;0.66472;0.00192;0.00348;0.00683;1.52512;0.00174;0.00035;0.00549;0.22128;0;0.09476;0.58336;0.00037;0.31049;1.14112;0;0.11666;21.00344;0.14558;0.10873;11.93962;44.4928;8.76787;2.77032;0.12015;0.01318;0;0.03026;0.35954;0.00095;0.00187;0.22128;0.02132;1.38133;0.00087;0;0.00283;0.45504;0;0;0.16187;0;0.0401;0.46418;0;0;0.05856;0.00277;0;0.01489;0.00029;0;0;0.04248;0.04272;0.00689;0;0;0.00238;0.00135;0.02764;0
NZ_AP019827.1_Leptotrichia_shahii_strain_JCM16776;0.02181;0.00349;0.00234;0.00445;0.00795;0.18968;0.09805;0.31582;0;0.00404;12.72681;0.11837;0.00067;0.00331;0.52079;0.0008;0.00033;0.05784;0.00457;0.01921;0.01818;0.00186;0.0592;7.45419;0.05427;3.07552;0.01672;0.00766;0.058;2.57366;0.00487;0.00273;0.20527;11.11629;0.0002;0.27628;93.42379;0.00475;9.17558;3.1309;0.0696;1.82017;3.68551;0.51134;6.73843;2.29845;5.60021;0.80336;0.42818;2.47928;0.027;0.00194;3.44644;2.93662;0.17944;0.18114;30.34079;0.03644;190.92815;0.25127;0.06272;1.28398;110.98707;0.01506;0;0.10159;0.0002;0.18678;1.7474;0.00396;0.94986;1.10057;0.05491;0.01515;9.99745;0.00072;0;0;0.1712;0.06691;0.00131;0.00027;0;0.11708;0.00471;0.12643;0.00042
NZ_LR134323.1_Streptococcus_urinalis_strain_NCTC13766_chromosome_1;0.0218;0.00022;0.00106;0.00718;0.01;0.01151;0.14701;0.03134;0;0.00052;0.03714;0.00405;0;0.00029;0.06648;0.00027;0.0028;0.02869;0.00343;0.25598;0.01665;0.03312;0.00197;0.00211;0.00086;0.03939;0.01128;0.00357;0.00087;0.00558;0.009;0.00057;0.03276;0.00643;0.00407;0.05901;0.62318;0.00037;0.3701;2.58577;2.47338;0.00401;0.09026;0.06672;0.11693;0.05441;0.28389;0.08737;0.05188;0.02331;0.0006;0.11626;0.03687;0.04224;0.078;0.00823;0.05951;0.00276;0.90108;0.06015;0.31888;0.01968;0.57533;1.7013;0;0.14236;0.00177;0.28224;1.25021;0.03452;0.02106;0.03677;0.00237;0.00634;0.04719;0.02025;0.00075;0;0.00323;0.06342;0.00487;0.00859;0;0.0016;0.00414;0.00318;0.021
NZ_CP014835.1_Streptococcus_halotolerans_strain_HTS9_chromosome__complete_genome;0.02141;0.00007;0.00188;0.00538;0.00289;0.00808;0.16852;0.02081;0;0.00026;0.02672;0.00281;0;0.00022;0.07056;0.00013;0.00194;0.01359;0.00112;0.14797;0.01785;0.03592;0.0009;0.00258;0.00051;0.02726;0.00595;0.00351;0;0.00394;0.02486;0.00034;0.01372;0.00376;0.006;0.04804;0.51969;0;0.5726;5.28334;2.76434;0.00256;0.0859;0.05343;0.03778;0.03185;0.23746;0.06037;0.02405;0.00835;0.00064;0.13327;0.01231;0.03035;0.03603;0.0018;0.05785;0.00499;0.7012;0.01849;0.25172;0.03186;0.74224;0.71376;0.00075;0.07733;0.00174;0.22695;1.09496;0.00919;0.02596;0.05923;0.002;0.00692;0.07251;0.00643;0.00122;0;0.00198;0.08298;0.0046;0.00396;0;0.00072;0.00284;0.00246;0.00784
NZ_CP038029.1_Sphingobacterium_psychroaquaticum_strain_SJ_25_chromosome__complete_genome;0.02126;0.00004;0.0001;0.00011;0.00014;0.00126;0;0.00372;0;0;0.00566;0.00015;0;0;0.00087;0;0;0.00165;0;0.00021;0;0.00049;0.00038;0.00004;0;0.00234;0.00081;0.00058;0.00014;0.00111;0.00036;0;0.00288;0.00085;0;0.00625;0.14557;0.00036;0.01347;0.02149;0;0.00042;0.01037;0.0039;0.00244;0.01722;0.02324;0.00215;0.00207;0.00088;0.00013;0;0.00168;0.00238;0.0008;0.00009;0.01513;0;0.04218;0.00612;0;0.00095;0.02196;0;0;0.00403;0.0001;0.00772;0;0;0.00056;0.0021;0.00066;0.0012;0.00525;0.00003;0;0;0.00025;0.00183;0.00027;0.00026;0;0.00035;0.00006;0.00122;0.00174
