pathway_id;pathway_reaction;pathway_completeness_perc;pathway_completeness;pathway_candidate_reaction;pathway_key_reactions
PWY-1801;formaldehyde oxidation II (glutathione-dependent);0;0/2; 0/2;0/1
PWY-181;photorespiration;33;(2+1)/9; 1/9;0/1
PWY-1861;formaldehyde assimilation II (assimilatory RuMP Cycle);55;5/9; 5/9;0/2
PWY-1881;formate oxidation to CO2;0;0/1; 0/1;0/0
PWY18C3-22;methylsalicylate biosynthesis;0;0/1; 0/1;0/0
PWY18C3-23;guaiacol biosynthesis;0;0/1; 0/1;0/0
PWY18C3-2;solasodine and soladulcidine biosynthesis;0;0/10; 0/10;0/0
PWY18C3-5;"&alpha;-tomatine degradation";0;0/6; 0/6;0/0
PWY18C3-7;cembratrienediol biosynthesis;0;0/4; 0/4;0/0
PWY18C3-9;diacylsucrose biosynthesis (Solanum);0;0/5; 0/5;0/0
PWY18HP-2;decaprenoxanthin diglucoside biosynthesis;0;0/5; 0/5;0/1
PWY-1901;aurone biosynthesis;0;0/9; 0/9;0/0
PWY1A0-6325;actinorhodin biosynthesis;0;0/10; 0/10;0/0
PWY1G01-4;glutarate degradation;0;0/2; 0/2;0/1
PWY1G-0;mycothiol biosynthesis;33;2/6; 2/6;0/0
PWY1G-126;mycothiol oxidation;0;0/2; 0/2;0/0
PWY1G-170;formaldehyde oxidation III (mycothiol-dependent);0;0/2; 0/2;0/0
PWY1G-1;mycothiol-mediated detoxification;0;0/1; 0/1;0/0
PWY1QP9-2;fructosyllysine and glucosyllysine metabolism;0;0/4; 0/4;0/(1-1) with 1 key reactions of unclear state
PWY1YI0-1;arsenate detoxification V;50;1/2; 1/2;0/0
PWY1YI0-6;aerobic respiration in cyanobacteria (NDH-2 to cytochrome c oxidase via plastocyanin);33;1/3; 1/3;0/0
PWY1YI0-7;protective electron sinks in the thylakoid membrane (PSII to PTOX);0;0/2; 0/2;0/0
PWY1ZNC-1;assimilatory sulfate reduction IV;25;1/4; 1/4;0/0
PWY-2161;folate polyglutamylation;80;4/5; 4/5;0/0
PWY-2201;folate transformations I;50;5/10; 4/10;0/0
PWY-2221;Entner-Doudoroff pathway III (semi-phosphorylative);16;2/12; 2/12;0/0
PWY-2242;ammonia oxidation III;0;0/2; 0/2;0/0
PWY-2261;ascorbate glutathione cycle;0;0/3; 0/3;0/0
PWY-2301;myo-inositol biosynthesis;0;0/2; 0/2;0/1
PWY-2361;3-oxoadipate degradation;0;0/2; 0/2;0/0
PWY-2381;4-nitrobenzoate degradation;0;0/2; 0/2;0/0
PWY-2421;indole-3-acetate degradation I;0;0/3; 0/3;0/0
PWY-2503;benzoate degradation I (aerobic);0;0/2; 0/2;0/1
PWY-2582;brassinosteroid biosynthesis II;0;0/21; 0/21;0/0
PWY-2601;isethionate degradation;0;0/1; 0/1;0/0
PWY-2622;trehalose biosynthesis IV;100;1/1; 1/1;0/0
PWY-2661;trehalose biosynthesis V;33;1/3; 1/3;0/1
PWY-2681;trans-zeatin biosynthesis;0;0/11; 0/11;0/0
PWY-2721;trehalose degradation III;0;0/2; 0/2;0/0
PWY-2722;trehalose degradation IV;25;1/4; 1/4;0/1
PWY-283;benzoate degradation II (aerobic and anaerobic);0;0/1; 0/1;0/0
PWY-2941;L-lysine biosynthesis II;55;(4+1)/9; 4/9;0/1
PWY-2942;L-lysine biosynthesis III;66;4/6; 4/6;0/1
PWY-2981;diterpene phytoalexins precursors biosynthesis;0;0/12; 0/12;0/0
PWY-2;putrescine degradation IV;0;0/2; 0/2;0/0
PWY-301;cyclohexane-1-carboxylate degradation (anaerobic);50;1/2; 0/2;0/0
PWY-3061;menthol biosynthesis;0;0/12; 0/12;0/0
PWY-3081;L-lysine biosynthesis V;10;1/10; 1/10;0/3
PWY-3101;flavonol biosynthesis;28;(0+2)/7; 0/7;0/0
PWY-3161;indole-3-acetate biosynthesis III (bacteria);0;0/2; 0/2;0/1
PWY-3162;L-tryptophan degradation V (side chain pathway);0;0/13; 0/13;0/(1-1) with 1 key reactions of unclear state
PWY-3181;L-tryptophan degradation VI (via tryptamine);33;1/3; 1/3;0/0
PWY-3461;L-tyrosine biosynthesis II;33;1/3; 1/3;0/1
PWY-3462;L-phenylalanine biosynthesis II;33;1/3; 1/3;0/1
PWY-3561;choline biosynthesis III;33;1/3; 1/3;0/0
PWY-3602;L-carnitine degradation II;0;0/3; 0/3;0/1
PWY-361;phenylpropanoid biosynthesis;6;1/16; 1/16;0/0
PWY-3641;L-carnitine degradation III;33;1/3; 1/3;0/1
PWY-3661;glycine betaine degradation I;40;2/5; 2/5;0/1
PWY-3721;choline degradation II;0;0/2; 0/2;0/0
PWY-3722;glycine betaine biosynthesis II (Gram-positive bacteria);0;0/2; 0/2;0/0
PWY-3781;aerobic respiration I (cytochrome c);75;3/4; 3/4;0/0
PWY-3801;sucrose degradation II (sucrose synthase);50;3/6; 3/6;0/1
PWY-3881;mannitol biosynthesis;0;0/3; 0/3;0/0
PWY-3941;"&beta;-alanine biosynthesis II";0;0/6; 0/6;0/1
PWY-3981;"&beta;-alanine biosynthesis I";0;0/2; 0/2;0/0
PWY-3982;uracil degradation I (reductive);0;0/3; 0/3;0/0
PWY3DJ-11281;sphingomyelin metabolism;0;0/3; 0/3;0/0
PWY3O-246;(R,R)-butanediol degradation;0;0/1; 0/1;0/0
PWY3O-4106;NAD salvage pathway IV (from nicotinamide riboside);0;0/2; 0/2;0/0
PWY3O-4107;NAD salvage pathway V (PNC V cycle);80;4/5; 2/5;0/0
PWY3O-440;pyruvate fermentation to acetoin III;0;0/3; 0/3;0/0
PWY3O-450;phosphatidylcholine biosynthesis I;66;2/3; 2/3;0/0
PWY-3;putrescine degradation V;0;0/2; 0/2;0/1
PWY-4081;glutathione-peroxide redox reactions;33;1/3; 1/3;0/0
PWY-40;putrescine biosynthesis I;0;0/2; 0/2;0/0
PWY-4101;D-sorbitol degradation I;0;0/2; 0/2;0/0
PWY-4121;glutathionylspermidine biosynthesis;0;0/2; 0/2;0/0
PWY-4181;glutathione amide metabolism;33;1/3; 1/3;0/0
PWY-4201;volatile cinnamoic ester biosynthesis;0;0/5; 0/5;0/0
PWY-4261;glycerol degradation I;66;2/3; 2/3;0/0
PWY-4341;L-glutamate biosynthesis V;0;0/1; 0/1;0/0
PWY-4361;"S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I";0;0/7; 0/7;0/1
PWY-4381;fatty acid biosynthesis initiation (bacteria and plants);33;1/3; 1/3;0/1
PWY-43;putrescine biosynthesis II;0;0/3; 0/3;0/0
PWY-4521;arsenite oxidation I (respiratory);0;0/2; 0/2;0/0
PWY-4601;arsenate reduction (respiratory);0;0/1; 0/1;0/0
PWY-4621;arsenate detoxification II (glutaredoxin);0;0/2; 0/2;0/0
PWY-46;putrescine biosynthesis III;0;0/2; 0/2;0/0
PWY-4722;creatinine degradation II;0;0/5; 0/5;0/0
PWY-4741;creatinine degradation III;0;0/2; 0/2;0/0
PWY-481;ethylbenzene degradation (anaerobic);20;1/5; 1/5;0/0
PWY-4861;"UDP-&alpha;-D-galacturonate biosynthesis I (from UDP-D-glucuronate)";0;0/1; 0/1;0/0
PWY490-3;nitrate reduction VI (assimilatory);50;2/4; 2/4;0/0
PWY490-4;L-asparagine biosynthesis III (tRNA-dependent);60;3/5; 3/5;1/1
PWY-4921;protein citrullination;0;0/1; 0/1;0/0
PWY-4984;urea cycle;60;3/5; 3/5;0/1
PWY-4;"UDP-&alpha;-D-galacturonate biosynthesis II (from D-galacturonate)";0;0/2; 0/2;0/0
PWY-5022;4-aminobutanoate degradation V;12;1/8; 1/8;0/0
PWY-5024;L-arginine degradation XI;0;0/2; 0/2;0/(2-1) with 1 key reactions of unclear state
PWY-5025;indole-3-acetate biosynthesis IV (bacteria);0;0/2; 0/2;0/0
PWY-5026;indole-3-acetate biosynthesis V (bacteria and fungi);0;0/1; 0/1;0/0
PWY-5027;phylloquinol biosynthesis;25;(0+1)/4; 0/4;0/0
PWY-5028;L-histidine degradation II;0;0/5; 0/5;0/0
PWY-5029;imidazole-lactate degradation;0;0/2; 0/2;0/0
PWY-5033;nicotinate degradation II;0;0/5; 0/5;0/0
PWY-5041;S-adenosyl-L-methionine cycle II;50;(1+1)/4; 1/4;0/1
PWY-5045;pinosylvin metabolism;0;0/3; 0/3;0/0
PWY-5046;2-oxoisovalerate decarboxylation to isobutanoyl-CoA;66;2/3; 2/3;0/1
PWY-5055;nicotinate degradation III;11;(0+1)/9; 0/9;0/0
PWY-5057;L-valine degradation II;33;1/3; 1/3;0/1
PWY-5063;phytyl diphosphate biosynthesis;0;0/3; 0/3;0/0
PWY-5068;chlorophyll cycle;16;(0+1)/6; 0/6;0/0
PWY-5074;mevalonate degradation;0;0/2; 0/2;0/0
PWY-5075;L-leucine degradation II;0;0/3; 0/3;0/0
PWY-5080;very long chain fatty acid biosynthesis I;0;0/4; 0/4;0/0
PWY-5084;2-oxoglutarate decarboxylation to succinyl-CoA;100;3/3; 3/3;1/1
PWY-5086;chlorophyll a biosynthesis I;0;0/2; 0/2;0/2
PWY-5087;L-glutamate degradation VI (to pyruvate);0;0/4; 0/4;0/0
PWY-5094;naringenin glycoside biosynthesis;0;0/3; 0/3;0/0
PWY-5097;L-lysine biosynthesis VI;57;4/7; 4/7;0/2
PWY-5101;L-isoleucine biosynthesis II;50;4/8; 4/8;0/1
PWY-5103;L-isoleucine biosynthesis III;85;(4+2)/7; 4/7;0/1
PWY-5104;L-isoleucine biosynthesis IV;66;4/6; 4/6;0/1
PWY-5105;hesperitin glycoside biosynthesis;0;0/4; 0/4;0/0
PWY-5108;L-isoleucine biosynthesis V;33;1/3; 1/3;0/1
PWY-5120;geranylgeranyl diphosphate biosynthesis;0;0/1; 0/1;0/0
PWY-5122;geranyl diphosphate biosynthesis;100;1/1; 1/1;0/0
PWY-5123;trans, trans-farnesyl diphosphate biosynthesis;33;1/3; 1/3;0/1
PWY-5129;sphingolipid biosynthesis (plants);23;(0+3)/13; 0/13;0/0
PWY-5137;"fatty acid &beta;-oxidation III (unsaturated, odd number)";0;0/1; 0/1;0/0
PWY-5142;acyl-[acyl-carrier protein] thioesterase pathway;0;0/1; 0/1;0/0
PWY-5143;long-chain fatty acid activation;100;1/1; 1/1;0/0
PWY-5148;acyl-CoA hydrolysis;0;0/1; 0/1;0/0
PWY-5151;L-tyrosine degradation II;40;(1+1)/5; 1/5;0/0
PWY-5152;leucodelphinidin biosynthesis;20;(0+1)/5; 0/5;0/0
PWY-5154;L-arginine biosynthesis III (via N-acetyl-L-citrulline);33;3/9; 3/9;0/1
PWY-5155;"&beta;-alanine biosynthesis III";0;0/1; 0/1;0/0
PWY-5159;trans-4-hydroxy-L-proline degradation II;0;0/4; 0/4;0/2
PWY-5162;2-hydroxypenta-2,4-dienoate degradation;0;0/3; 0/3;0/0
PWY-5163;p-cumate degradation to 2-hydroxypentadienoate;0;0/5; 0/5;0/1
PWY-5165;4-toluenesulfonate degradation II;0;0/1; 0/1;0/0
PWY-5169;cyanuric acid degradation II;0;0/3; 0/3;0/0
PWY-5170;melamine degradation;0;0/3; 0/3;0/0
PWY-5171;N-cyclopropylmelamine degradation;0;0/3; 0/3;0/0
PWY-5177;glutaryl-CoA degradation;33;2/6; 2/6;0/0
PWY-5188;tetrapyrrole biosynthesis I (from glutamate);83;5/6; 5/6;0/0
PWY-5189;tetrapyrrole biosynthesis II (from glycine);50;2/4; 2/4;0/0
PWY-5194;siroheme biosynthesis;0;0/4; 0/4;0/0
PWY-5196;factor 430 biosynthesis;0;0/7; 0/7;0/0
PWY-5197;lactate biosynthesis (archaea);0;0/4; 0/4;0/(1-1) with 1 key reactions of unclear state
PWY-5198;factor 420 biosynthesis II (mycobacteria);0;0/6; 0/6;0/1
PWY-5199;factor 420 polyglutamylation;0;0/2; 0/2;0/0
PWY-5203;soybean saponin I biosynthesis;0;0/8; 0/8;0/0
PWY-5254;methanofuran biosynthesis;0;0/8; 0/8;0/0
PWY-5274;sulfide oxidation II (flavocytochrome c);0;0/1; 0/1;0/0
PWY-5276;sulfite oxidation I;0;0/1; 0/1;0/0
PWY-5277;thiosulfate disproportionation I (thiol-dependent);0;0/1; 0/1;0/0
PWY-5278;sulfite oxidation III;50;1/2; 1/2;0/1
PWY-5279;sulfite oxidation II;0;0/2; 0/2;0/0
PWY-5280;L-lysine degradation IV;0;0/5; 0/5;0/0
PWY-5283;L-lysine degradation V;12;1/8; 1/8;0/1
PWY-5285;sulfide oxidation III (to sulfite);0;0/2; 0/2;0/0
PWY-5288;astaxanthin biosynthesis (bacteria, fungi, algae);0;0/10; 0/10;0/0
PWY-5296;thiosulfate oxidation III (multienzyme complex);20;(0+1)/5; 0/5;0/0
PWY-5297;siroheme amide biosynthesis;0;0/2; 0/2;0/0
PWY-5298;L-lysine degradation VI;0;0/2; 0/2;0/0
PWY-5301;ajmaline and sarpagine biosynthesis;0;0/19; 0/19;0/0
PWY-5302;sulfur disproportionation II (aerobic);0;0/1; 0/1;0/0
PWY-5303;thiosulfate oxidation II (via tetrathionate);0;0/4; 0/4;0/0
PWY-5314;L-lysine degradation VIII;0;0/1; 0/1;0/0
PWY-5315;"N-methyl-&Delta;1-pyrrolinium cation biosynthesis";0;0/2; 0/2;0/0
PWY-5331;taurine biosynthesis I;0;0/3; 0/3;0/0
PWY-5332;sulfur reduction I;0;0/1; 0/1;0/0
PWY-5336;carbon disulfide oxidation II (aerobic);0;0/2; 0/2;0/0
PWY-5340;sulfate activation for sulfonation;50;1/2; 1/2;0/0
PWY-5344;L-homocysteine biosynthesis;0;0/2; 0/2;0/0
PWY-5350;thiosulfate disproportionation IV (rhodanese);0;0/1; 0/1;0/0
PWY-5352;thiosulfate disproportionation II (cytochrome);0;0/1; 0/1;0/0
PWY-5358;tetrathionate reduction I (to thiosulfate);0;0/1; 0/1;0/0
PWY-5359;tetrathionate reductiuon II (to trithionate);0;0/1; 0/1;0/0
PWY-5364;sulfur reduction II (via polysulfide);0;0/1; 0/1;0/0
PWY-5366;palmitoleate biosynthesis II (plants and bacteria);0;0/2; 0/2;0/0
PWY-5370;carbon tetrachloride degradation I;0;0/4; 0/4;0/0
PWY-5372;carbon tetrachloride degradation II;0;0/3; 0/3;0/1
PWY-5381;pyridine nucleotide cycling (plants);58;(5+2)/12; 4/12;0/0
PWY-5382;hydrogen oxidation II (aerobic, NAD);0;0/1; 0/1;0/0
PWY-5384;sucrose degradation IV (sucrose phosphorylase);50;2/4; 2/4;0/1
PWY-5386;methylglyoxal degradation I;0;0/3; 0/3;0/1
PWY-5389;3-methylthiopropanoate biosynthesis;0;0/1; 0/1;0/0
PWY-5391;syringetin biosynthesis;20;(0+1)/5; 0/5;0/0
PWY-5392;reductive TCA cycle II;25;3/12; 3/12;0/2
PWY-5394;betalamic acid biosynthesis;0;0/2; 0/2;0/1
PWY-5418;phenol degradation I (aerobic);0;0/1; 0/1;0/0
PWY-5419;catechol degradation to 2-hydroxypentadienoate II;0;0/4; 0/4;0/1
PWY-5427;naphthalene degradation (aerobic);0;0/6; 0/6;0/1
PWY-5428;1,3-dimethylbenzene degradation to 3-methylbenzoate;0;0/3; 0/3;0/1
PWY-5429;1,4-dimethylbenzene degradation to 4-methylbenzoate;0;0/3; 0/3;0/1
PWY-5436;L-threonine degradation IV;66;2/3; 1/3;0/0
PWY-5437;L-threonine degradation I;80;4/5; 3/5;0/0
PWY-5443;aminopropanol phosphate biosynthesis I;0;0/2; 0/2;0/1
PWY-5450;benzene degradation;0;0/2; 0/2;0/0
PWY-5453;methylglyoxal degradation III;50;1/2; 0/2;0/0
PWY-5456;methylglyoxal degradation VII;0;0/1; 0/1;0/0
PWY-5458;methylglyoxal degradation V;33;1/3; 1/3;0/0
PWY-5480;pyruvate fermentation to ethanol I;33;1/3; 1/3;0/0
PWY-5481;pyruvate fermentation to (S)-lactate;100;1/1; 1/1;0/0
PWY-5482;pyruvate fermentation to acetate II;100;4/4; 3/4;1/1
PWY-5484;glycolysis II (from fructose 6-phosphate);72;8/11; 8/11;0/0
PWY-5486;pyruvate fermentation to ethanol II;0;0/2; 0/2;0/1
PWY-5487;4-nitrophenol degradation I;0;0/5; 0/5;0/1
PWY-5488;4-nitrophenol degradation II;0;0/5; 0/5;0/1
PWY-5489;methyl parathion degradation;0;0/1; 0/1;0/0
PWY-5490;paraoxon degradation;0;0/1; 0/1;0/0
PWY-5491;diethylphosphate degradation;0;0/2; 0/2;0/1
PWY-5493;reductive monocarboxylic acid cycle;50;1/2; 1/2;1/2
PWY-5494;pyruvate fermentation to propanoate II (acrylate pathway);0;0/4; 0/4;0/1
PWY-5497;purine nucleobases degradation II (anaerobic);63;(8+6)/22; 8/22;0/0
PWY-5499;vitamin B6 degradation;0;0/9; 0/9;0/1
PWY-5509;adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I;0;0/3; 0/3;0/1
PWY-5512;UDP-N-acetyl-D-galactosamine biosynthesis I;100;1/1; 1/1;0/0
PWY-5517;L-arabinose degradation III;20;1/5; 1/5;0/0
PWY-5521;L-ascorbate biosynthesis III;0;0/3; 0/3;0/0
PWY-5523;5,6-dimethylbenzimidazole biosynthesis I (aerobic);33;1/3; 1/3;0/1
PWY-5526;bacteriochlorophyll a biosynthesis;0;0/13; 0/13;0/0
PWY-5530;sorbitol biosynthesis II;0;0/2; 0/2;0/1
PWY-5531;3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic);11;1/9; 1/9;0/3
PWY-5532;nucleoside and nucleotide degradation (archaea);50;(5+1)/12; 5/12;0/0
PWY-5533;acetone degradation II (to acetoacetate);0;0/2; 0/2;0/0
PWY-5534;propene degradation;0;0/7; 0/7;0/0
PWY-5535;acetate and ATP formation from acetyl-CoA II;0;0/1; 0/1;0/0
PWY-5629;isopenicillin N biosynthesis;0;0/2; 0/2;0/1
PWY-5631;deacetylcephalosporin C biosynthesis;0;0/3; 0/3;0/1
PWY-5633;cephamycin C biosynthesis;0;0/3; 0/3;0/0
PWY-5636;2-nitrophenol degradation;0;0/1; 0/1;0/0
PWY-5637;nitrobenzene degradation I;0;0/3; 0/3;0/1
PWY-5640;nitrobenzene degradation II;0;0/1; 0/1;0/0
PWY-5641;2-nitrotoluene degradation;0;0/3; 0/3;0/1
PWY-5642;2,4-dinitrotoluene degradation;14;(0+1)/7; 0/7;0/1
PWY-5643;2,6-dinitrotoluene degradation;0;0/3; 0/3;0/0
PWY-5644;4-nitrotoluene degradation II;0;0/9; 0/9;0/0
PWY-5645;4-chloronitrobenzene degradation;0;0/9; 0/9;0/0
PWY-5648;2-nitrobenzoate degradation II;0;0/3; 0/3;0/0
PWY-5651;L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde;0;0/6; 0/6;0/0
PWY-5653;NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde;66;2/3; 2/3;0/0
PWY-5654;2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate;0;0/4; 0/4;0/0
PWY-5656;mannosylglycerate biosynthesis I;0;0/2; 0/2;0/0
PWY-5658;mannosylglycerate biosynthesis II;0;0/1; 0/1;0/0
PWY-5659;GDP-mannose biosynthesis;50;2/4; 2/4;0/0
PWY-5660;taxol biosynthesis;0;0/15; 0/15;0/0
PWY-5661;GDP-glucose biosynthesis;75;(2+1)/4; 2/4;0/(1-1) with 1 key reactions of unclear state
PWY-5662;glucosylglycerate biosynthesis I;0;0/2; 0/2;0/0
PWY-5663;erythro-tetrahydrobiopterin biosynthesis I;25;1/4; 1/4;0/0
PWY-5667;CDP-diacylglycerol biosynthesis I;25;1/4; 1/4;0/0
PWY-5668;cardiolipin biosynthesis I;33;1/3; 0/3;1/1
PWY-5669;phosphatidylserine and phosphatidylethanolamine biosynthesis I;0;0/2; 0/2;0/0
PWY-5670;epoxysqualene biosynthesis;0;0/3; 0/3;0/0
PWY-5674;nitrate reduction IV (dissimilatory);0;0/2; 0/2;0/0
PWY-5675;nitrate reduction V (assimilatory);50;2/4; 2/4;0/1
PWY-5677;succinate fermentation to butanoate;0;0/8; 0/8;0/0
PWY-5679;clavulanate biosynthesis;12;(0+1)/8; 0/8;0/0
PWY-5686;UMP biosynthesis I;0;0/6; 0/6;0/1
PWY-5690;TCA cycle II (plants and fungi);45;5/11; 4/11;0/1
PWY-5691;urate conversion to allantoin I;0;0/3; 0/3;0/1
PWY-5695;inosine 5'-phosphate degradation;75;3/4; 3/4;0/0
PWY-5697;allantoin degradation to ureidoglycolate I (urea producing);0;0/2; 0/2;0/0
PWY-5698;allantoin degradation to ureidoglycolate II (ammonia producing);0;0/3; 0/3;0/0
PWY-5703;urea degradation I;50;1/2; 1/2;0/0
PWY-5704;urea degradation II;0;0/1; 0/1;0/0
PWY-5726;deethylsimazine degradation;0;0/2; 0/2;0/0
PWY-5727;atrazine degradation II;0;0/2; 0/2;0/0
PWY-5731;atrazine degradation III;0;0/2; 0/2;0/0
PWY-5736;isopropylamine degradation;28;(0+2)/7; 0/7;0/0
PWY-5737;(5R)-carbapenem carboxylate biosynthesis;16;(0+1)/6; 0/6;0/1
PWY-5738;GDP-6-deoxy-D-talose biosynthesis;0;0/3; 0/3;0/1
PWY-5739;GDP-D-perosamine biosynthesis;50;1/2; 0/2;1/1
PWY-5740;GDP-L-colitose biosynthesis;0;0/3; 0/3;0/0
PWY-5741;ethylmalonyl-CoA pathway;0;0/12; 0/12;0/1
PWY-5742;L-arginine degradation IX (arginine:pyruvate transaminase pathway);0;0/4; 0/4;0/0
PWY-5743;3-hydroxypropanoate cycle;23;3/13; 3/13;0/0
PWY-5744;glyoxylate assimilation;15;2/13; 2/13;0/0
PWY-5747;2-methylcitrate cycle II;0;0/6; 0/6;0/1
PWY-5749;itaconate degradation;0;0/5; 0/5;0/1
PWY-5751;phenylethanol biosynthesis;0;0/5; 0/5;0/0
PWY-5755;4-hydroxybenzoate biosynthesis II (bacteria);0;0/1; 0/1;0/0
PWY-5757;fosfomycin biosynthesis;0;0/7; 0/7;0/1
PWY-5766;L-glutamate degradation X;100;1/1; 1/1;0/0
PWY-5770;phenazine-1-carboxylate biosynthesis;0;0/9; 0/9;0/1
PWY-5774;saponin biosynthesis IV;0;0/9; 0/9;0/0
PWY-5776;2-hydroxyphenazine biosynthesis;0;0/1; 0/1;0/0
PWY-5782;2-keto-L-gulonate biosynthesis;0;0/3; 0/3;0/0
PWY-5783;octaprenyl diphosphate biosynthesis;0;0/1; 0/1;0/0
PWY-5785;di-trans,poly-cis-undecaprenyl phosphate biosynthesis;50;1/2; 1/2;0/0
PWY-5794;malonate degradation I (biotin-independent);0;0/3; 0/3;0/0
PWY-5796;malonate decarboxylase activation;0;0/2; 0/2;0/1
PWY-5805;nonaprenyl diphosphate biosynthesis I;0;0/1; 0/1;0/0
PWY-5806;all-trans-decaprenyl diphosphate biosynthesis;0;0/1; 0/1;0/0
PWY-5807;heptaprenyl diphosphate biosynthesis;0;0/1; 0/1;0/0
PWY-5816;all trans undecaprenyl diphosphate biosynthesis;0;0/1; 0/1;0/0
PWY-5817;dodecaprenyl diphosphate biosynthesis;0;0/1; 0/1;0/0
PWY-5818;validamycin biosynthesis;23;(0+3)/13; 0/13;0/0
PWY-5830;CDP-ascarylose biosynthesis;0;0/2; 0/2;0/0
PWY-5831;CDP-abequose biosynthesis;0;0/1; 0/1;0/0
PWY-5832;CDP-paratose biosynthesis;0;0/1; 0/1;0/0
PWY-5833;CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis;0;0/3; 0/3;0/0
PWY-5834;CDP-tyvelose biosynthesis;0;0/2; 0/2;0/0
PWY-5837;2-carboxy-1,4-naphthoquinol biosynthesis;42;3/7; 3/7;0/1
PWY-5839;menaquinol-7 biosynthesis;50;1/2; 1/2;0/0
PWY-5844;menaquinol-9 biosynthesis;100;1/1; 1/1;0/0
PWY-5849;menaquinol-6 biosynthesis;100;1/1; 1/1;0/0
PWY-5851;demethylmenaquinol-9 biosynthesis;0;0/1; 0/1;0/0
PWY-5852;demethylmenaquinol-8 biosynthesis I;0;0/1; 0/1;0/0
PWY-5853;demethylmenaquinol-6 biosynthesis I;0;0/1; 0/1;0/0
PWY-5855;ubiquinol-7 biosynthesis (prokaryotic);12;(0+1)/8; 0/8;0/2
PWY-5856;ubiquinol-9 biosynthesis (prokaryotic);0;0/8; 0/8;0/2
PWY-5857;ubiquinol-10 biosynthesis (prokaryotic);0;0/8; 0/8;0/2
PWY-5875;staphyloxanthin biosynthesis;0;0/9; 0/9;0/0
PWY-5885;wax esters biosynthesis II;25;1/4; 1/4;0/0
PWY-5886;4-hydroxyphenylpyruvate biosynthesis;25;1/4; 1/4;0/0
PWY-5887;albaflavenone biosynthesis;0;0/5; 0/5;0/0
PWY-5888;rhodoquinone-10 biosynthesis;0;0/1; 0/1;0/0
PWY-5890;menaquinol-10 biosynthesis;50;1/2; 1/2;0/0
PWY-5891;menaquinol-11 biosynthesis;50;1/2; 1/2;0/0
PWY-5892;menaquinol-12 biosynthesis;50;1/2; 1/2;0/0
PWY-5893;tridecaprenyl diphosphate biosynthesis;0;0/1; 0/1;0/0
PWY-5895;menaquinol-13 biosynthesis;50;1/2; 1/2;0/0
PWY-5901;2,3-dihydroxybenzoate biosynthesis;0;0/3; 0/3;0/0
PWY-5905;hypusine biosynthesis;0;0/5; 0/5;0/0
PWY-5907;homospermidine biosynthesis;0;0/1; 0/1;0/0
PWY-5913;partial TCA cycle (obligate autotrophs);22;2/9; 2/9;0/1
PWY-5915;phycoerythrobilin biosynthesis I;0;0/3; 0/3;0/2
PWY-5917;phycocyanobilin biosynthesis;0;0/2; 0/2;0/1
PWY-5921;glutaminyl-tRNAgln biosynthesis via transamidation;60;3/5; 3/5;0/0
PWY-5922;(4R)-carveol and (4R)-dihydrocarveol degradation;0;0/14; 0/14;0/(2-2) with 2 key reactions of unclear state
PWY-5923;limonene degradation I (D-limonene);0;0/6; 0/6;0/1
PWY-5924;limonene degradation II (L-limonene);0;0/6; 0/6;0/1
PWY-5927;(4S)-carveol and (4S)-dihydrocarveol degradation;0;0/14; 0/14;0/0
PWY-5929;puromycin biosynthesis;0;0/10; 0/10;0/0
PWY-5930;terpentecin biosynthesis;0;0/3; 0/3;0/0
PWY-5935;tuberculosinol biosynthesis;0;0/2; 0/2;0/0
PWY-5938;pyruvate fermentation to (R)-acetoin I;50;1/2; 1/2;0/1
PWY-5939;pyruvate fermentation to (R)-acetoin II;50;1/2; 1/2;0/1
PWY-5940;streptomycin biosynthesis;5;1/18; 1/18;0/0
PWY-5941;glycogen degradation II;75;6/8; 6/8;0/0
PWY-5943;"&beta;-carotene biosynthesis";0;0/2; 0/2;0/0
PWY-5944;zeaxanthin biosynthesis;0;0/2; 0/2;0/0
PWY-5945;violaxanthin, antheraxanthin and zeaxanthin interconversion;25;(0+1)/4; 0/4;0/0
PWY-5946;"&alpha;-carotene biosynthesis";0;0/2; 0/2;0/0
PWY-5947;lutein biosynthesis;0;0/3; 0/3;0/0
PWY-5950;geosmin biosynthesis;0;0/3; 0/3;0/0
PWY-5951;(R,R)-butanediol biosynthesis;0;0/1; 0/1;0/0
PWY-5963;thio-molybdenum cofactor biosynthesis;0;0/1; 0/1;0/0
PWY-5964;guanylyl molybdenum cofactor biosynthesis;100;1/1; 1/1;0/0
PWY-5971;palmitate biosynthesis II (bacteria and plant cytoplasm);5;2/37; 2/37;0/0
PWY-5973;cis-vaccenate biosynthesis;0;0/5; 0/5;0/1
PWY-5978;kanosamine biosynthesis I;0;0/3; 0/3;0/2
PWY-5979;3-amino-5-hydroxybenzoate biosynthesis;33;(1+1)/6; 0/6;0/0
PWY-5981;CDP-diacylglycerol biosynthesis III;20;1/5; 1/5;0/1
